previous_quantile,n,previous_mean,next_mean,next_median,target_q_now,source,model_tag
4,1273,3.234806980971055,6.73877198773912,4.565145376450351,5,AR(1)-GRW-S,ar1_s
5,1274,4.1304362068634966,6.733955197711751,4.604049375917279,5,AR(1)-GRW-S,ar1_s
6,1273,5.197729451691224,6.473239205427566,4.473376711387118,5,AR(1)-GRW-S,ar1_s
7,1273,6.660149536566624,7.011348425151007,4.603616950602312,5,AR(1)-GRW-S,ar1_s
8,1274,8.674233081453417,6.623301573501036,4.326875747753933,5,AR(1)-GRW-S,ar1_s
9,1273,12.066419033742168,6.790948601227102,4.461763173543106,5,AR(1)-GRW-S,ar1_s
10,1274,23.803823326087826,6.904730729037843,4.781257607666359,5,AR(1)-GRW-S,ar1_s
1,1267,0.6771696173216067,7.341011288416314,4.966940720832206,5,AR(1)-GRW-S-G,ar1_s_globalinit
2,1267,1.585658116876953,6.402500069340726,4.287910116720424,5,AR(1)-GRW-S-G,ar1_s_globalinit
3,1267,2.346621156650576,7.06241149503606,4.692202010986057,5,AR(1)-GRW-S-G,ar1_s_globalinit
4,1267,3.1500293740920635,7.593388012419464,4.741704506904553,5,AR(1)-GRW-S-G,ar1_s_globalinit
5,1267,4.096292666829247,6.487185993582293,4.404441102034841,5,AR(1)-GRW-S-G,ar1_s_globalinit
6,1267,5.167725687782554,6.806629789081098,4.505088799906843,5,AR(1)-GRW-S-G,ar1_s_globalinit
7,1267,6.569461103243755,6.635842481384807,4.484792334576039,5,AR(1)-GRW-S-G,ar1_s_globalinit
8,1267,8.520541713858908,6.957478947880645,4.667271113437163,5,AR(1)-GRW-S-G,ar1_s_globalinit
9,1267,11.688607589808987,6.825812129996051,4.64001473614342,5,AR(1)-GRW-S-G,ar1_s_globalinit
10,1267,23.28714772640713,6.592664045542907,4.634000028893586,5,AR(1)-GRW-S-G,ar1_s_globalinit
1,1559,0.3910042180539238,5.873248539967872,4.8480565914705185,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
2,1558,1.930557140533768,6.063173426183815,5.061548344634755,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
3,1559,2.7264201439219224,5.981740302239608,4.876722431284384,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
4,1558,3.459395433510534,5.996377068331187,4.902359711495913,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
5,1559,4.233720644274896,5.559387952616025,4.535479096858222,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
6,1558,5.058626423650375,6.121617034350128,5.055282225257368,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
7,1558,6.056032478922629,5.851656403042545,4.824937687063338,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
8,1559,7.3467669187607685,5.956454119517767,4.878016798873772,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
9,1558,9.393331189351075,5.93628510010504,4.857454161918474,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
10,1559,15.377887551835325,6.00046105517964,5.053948774368167,5,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
1,1521,0.304804391049024,5.857991716419111,4.869970883715153,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
2,1521,2.053170718965946,5.911229171795016,4.903856873471871,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
3,1520,2.992923437618332,5.70669218764263,4.762922196773996,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
4,1521,3.795306515308916,6.085901416406523,5.126930173479069,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
5,1520,4.611919150644664,5.870113183316862,4.729881920335384,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
6,1521,5.533322089002023,5.81977140467407,4.856279359934434,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
7,1520,6.629814653104968,6.158149883140654,4.953780654726456,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
8,1521,8.039711233880704,5.821222502483574,4.873452145206367,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
9,1520,10.253496821313744,5.688064738897131,4.730074992097792,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
10,1521,16.560352911092057,5.9403585473479374,4.931306647627598,5,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
1,1470,0.27919068005598496,5.47736549330627,4.534510111535348,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
2,1470,2.1030644551535187,4.280368601844342,3.6297865021027005,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
3,1470,3.0394444156112774,4.6956130148130395,4.020828117255789,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
4,1470,3.8389372726457345,5.192628672629448,4.41446843309502,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
5,1470,4.66304077408282,5.475809965665322,4.622234302856392,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
6,1469,5.5846552364793265,5.725960348129508,4.877652425021722,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
7,1470,6.64393430039298,6.415282315758484,5.520842697154706,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
8,1470,8.015345460391984,6.742513018320173,5.707211944192668,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
9,1470,10.216385771649845,7.422010584741437,6.402915993208992,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
10,1470,16.452859479425634,8.480226828602694,7.284819059078678,5,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
1,104,1.6429545622448098,6.854845929577162,6.337265153610854,10,Empirical,empirical
2,92,3.711428910405306,7.2166711449830405,6.4509380103866425,10,Empirical,empirical
3,99,5.013582211175759,7.533451919993812,6.739554149267217,10,Empirical,empirical
4,99,6.350097262524158,7.583646414052224,7.500638964126613,10,Empirical,empirical
5,89,7.433791717290631,8.198611906159675,7.162506692905852,10,Empirical,empirical
6,99,8.563368348781724,9.091279176667204,8.13951419978478,10,Empirical,empirical
7,94,10.08092030922875,8.973783305327506,7.963242843564195,10,Empirical,empirical
8,99,11.53417328650596,10.090774887195355,9.647837804072156,10,Empirical,empirical
9,95,13.858895369914949,10.558047368830977,10.109331223900826,10,Empirical,empirical
10,95,19.02559902410236,12.153690506346981,11.536011763248403,10,Empirical,empirical
1,873,1.2768253845084165,8.906533413567622,8.08592468517518,10,ARW4,arw4
2,872,3.4056859765140746,8.493551042263745,7.9233256053404535,10,ARW4,arw4
3,872,5.233286015538637,8.632651841885655,7.990772540180268,10,ARW4,arw4
4,873,6.850614692545009,8.186898277435663,7.63857507376278,10,ARW4,arw4
5,872,8.29920691291959,8.939145118852599,8.293184314098824,10,ARW4,arw4
6,872,9.688041867221365,8.501936178660035,7.993566670798485,10,ARW4,arw4
7,873,11.068170155143864,8.480709892734012,7.874874037451008,10,ARW4,arw4
8,872,12.360587470841446,8.51437800301017,7.876747995519862,10,ARW4,arw4
9,872,13.797865049408887,8.381251382234973,7.8667059726152235,10,ARW4,arw4
10,873,17.37288475386295,8.54525398923692,7.832251566921796,10,ARW4,arw4
1,410,3.8911353435298626,10.971800178875565,9.977339977588013,10,Unfitted-GRW,unfitted_grw
2,409,5.26121954985718,11.481301386581332,10.15610682929808,10,Unfitted-GRW,unfitted_grw
3,409,6.2253794147273975,11.279377889536601,10.250717551498303,10,Unfitted-GRW,unfitted_grw
4,409,7.119641187773614,11.423783897498602,10.03211067387457,10,Unfitted-GRW,unfitted_grw
5,409,8.036598636527314,11.33898768251741,10.251712135478318,10,Unfitted-GRW,unfitted_grw
6,409,9.090551384497491,11.588178545649505,9.922613278728594,10,Unfitted-GRW,unfitted_grw
7,409,10.293527122727184,11.48073950813705,9.804943619613404,10,Unfitted-GRW,unfitted_grw
8,409,11.880508585786167,11.498316929788936,10.587298311445156,10,Unfitted-GRW,unfitted_grw
9,409,14.192524541026025,11.121511478556588,9.647314367471918,10,Unfitted-GRW,unfitted_grw
10,409,20.79689854349929,11.518156494385638,9.984853245387702,10,Unfitted-GRW,unfitted_grw
1,276,1.442047124099723,15.056325934075211,9.592568438871378,10,GRW-Y,grw_y
2,276,2.968238752590901,15.929058340925094,10.100806099613585,10,GRW-Y,grw_y
3,276,4.226130133858941,16.268616806136865,9.521515718883538,10,GRW-Y,grw_y
4,276,5.603900575083397,16.256833630859752,10.438643020651185,10,GRW-Y,grw_y
5,276,7.212104611729125,13.86149488263411,8.322785080921669,10,GRW-Y,grw_y
6,276,9.081535687433602,14.869168566013204,9.447948251717204,10,GRW-Y,grw_y
7,276,11.684792296718571,14.304955127213903,9.833030778064511,10,GRW-Y,grw_y
8,276,15.755078948788592,13.889940438533332,10.144743667411753,10,GRW-Y,grw_y
9,276,22.026542788505935,16.14608366006211,9.87012464091491,10,GRW-Y,grw_y
10,276,47.288207851726206,14.57272802953162,10.299966891985168,10,GRW-Y,grw_y
1,241,1.5435610293065123,16.15392371032942,11.566548260487398,10,GRW-G,grw_global
2,241,2.9722878049956383,14.428436135515081,9.920486883170982,10,GRW-G,grw_global
3,241,4.176150940178287,18.751259785573303,10.79940139931563,10,GRW-G,grw_global
4,241,5.483545566042233,17.490046639341347,10.356829879835061,10,GRW-G,grw_global
5,241,7.012554241052259,17.790293439438223,10.760085200264992,10,GRW-G,grw_global
6,241,8.955778724837543,17.665488534284584,10.603812510986021,10,GRW-G,grw_global
7,241,11.452706135274893,14.031616638864573,8.606295863442247,10,GRW-G,grw_global
8,241,14.89157232340488,16.099454258193855,9.71592363364319,10,GRW-G,grw_global
9,241,20.789356967574296,14.977541627729735,10.077461408192462,10,GRW-G,grw_global
10,241,43.02388691213604,16.837923344255422,10.07847103177356,10,GRW-G,grw_global
1,497,1.2432517469696105,9.997274946699298,6.891633271790483,10,AR(1)-GRW-Y,ar1_y
2,496,2.667268711321922,10.94459008146873,7.327670708848677,10,AR(1)-GRW-Y,ar1_y
3,496,3.7727521960888106,11.017225103899856,7.53783779846853,10,AR(1)-GRW-Y,ar1_y
4,496,4.9184095714665546,9.570606940435196,7.018070540465789,10,AR(1)-GRW-Y,ar1_y
5,497,6.18816168606692,10.744302072509178,6.970854361624174,10,AR(1)-GRW-Y,ar1_y
6,496,7.775669579301643,9.664072993500398,6.745176818259472,10,AR(1)-GRW-Y,ar1_y
7,496,9.637015813362618,9.977314779579041,7.336725073149209,10,AR(1)-GRW-Y,ar1_y
8,496,12.53472668425896,10.426661635260073,6.793990926105771,10,AR(1)-GRW-Y,ar1_y
9,496,17.495163138354236,11.084655937631764,7.586719877126149,10,AR(1)-GRW-Y,ar1_y
10,497,34.09167161151538,10.82457474836276,7.640954974554518,10,AR(1)-GRW-Y,ar1_y
1,507,1.1979108784787122,10.657709453289756,6.788002944981657,10,AR(1)-GRW-S,ar1_s
2,506,2.524919461662569,10.841026183424088,7.290194529820351,10,AR(1)-GRW-S,ar1_s
3,506,3.6649780273614336,9.828824230229932,6.205253362233345,10,AR(1)-GRW-S,ar1_s
4,506,4.885377012264405,10.446471708428737,6.9628080311608525,10,AR(1)-GRW-S,ar1_s
5,506,6.178236480174309,10.155436805162058,7.170021870360737,10,AR(1)-GRW-S,ar1_s
6,506,7.767016565610731,9.849853705125152,6.850221670764833,10,AR(1)-GRW-S,ar1_s
7,506,9.804005570998171,9.63509682076195,6.9595911283461245,10,AR(1)-GRW-S,ar1_s
8,506,12.552339891951505,10.826806063292358,7.59354793085175,10,AR(1)-GRW-S,ar1_s
9,506,17.654434925187342,11.018171391169183,7.753802535138134,10,AR(1)-GRW-S,ar1_s
