starting_decile,n,median_signed,median_absolute,signed_q10,signed_q90,absolute_q10,absolute_q90,source,model_tag,reference_year,target_year
2,113,0.15784313725490196,0.15784313725490196,-0.03431372549019607,0.6025490196078431,0.03431372549019607,0.6025490196078431,Empirical,empirical,1,4
3,40,0.1357843137254902,0.20147058823529412,-0.18137254901960786,0.5007843137254901,0.07058823529411765,0.5007843137254901,Empirical,empirical,1,4
4,52,0.1892156862745098,0.30294117647058816,-0.25980392156862747,0.5037254901960784,0.042156862745098056,0.5037254901960784,Empirical,empirical,1,4
5,50,-0.02450980392156865,0.17156862745098034,-0.3596078431372549,0.3107843137254902,0.02450980392156865,0.37450980392156863,Empirical,empirical,1,4
6,52,-0.02303921568627451,0.18725490196078431,-0.4355882352941176,0.27676470588235297,0.08039215686274503,0.4453921568627451,Empirical,empirical,1,4
7,50,-0.07745098039215687,0.19117647058823528,-0.47637254901960785,0.23892156862745095,0.07666666666666663,0.4763725490196079,Empirical,empirical,1,4
8,48,-0.2068627450980392,0.2127450980392157,-0.5424509803921568,0.18970588235294128,0.056960784313725484,0.5424509803921574,Empirical,empirical,1,4
9,53,-0.11666666666666659,0.12941176470588234,-0.5554901960784314,0.07529411764705893,0.0303921568627451,0.5554901960784315,Empirical,empirical,1,4
10,52,-0.15490196078431373,0.15490196078431373,-0.49607843137254903,0.020686274509803936,0.014117647058823592,0.49607843137254903,Empirical,empirical,1,4
1,63,0.1627450980392157,0.1627450980392157,0.0009803921568627416,0.48509803921568645,0.0009803921568627416,0.48509803921568645,Empirical,empirical,5,7
2,41,0.1843137254901961,0.1843137254901961,-0.08627450980392157,0.5431372549019607,0.004901960784313736,0.5431372549019607,Empirical,empirical,5,7
3,48,0.16519607843137254,0.17941176470588235,0.012450980392156866,0.47617647058823553,0.012745098039215697,0.47617647058823553,Empirical,empirical,5,7
4,55,0.027450980392156876,0.18529411764705883,-0.24941176470588233,0.4911764705882353,0.02450980392156865,0.4911764705882353,Empirical,empirical,5,7
5,45,-0.11372549019607847,0.2852941176470588,-0.38823529411764707,0.39137254901960783,0.11372549019607847,0.4207843137254902,Empirical,empirical,5,7
6,55,0.013725490196078494,0.22156862745098038,-0.47921568627450983,0.3007843137254903,0.02235294117647062,0.47921568627450983,Empirical,empirical,5,7
7,51,-0.1941176470588235,0.2558823529411765,-0.5029411764705882,0.18529411764705883,0.09215686274509804,0.5029411764705882,Empirical,empirical,5,7
8,51,-0.11078431372549025,0.12941176470588234,-0.4666666666666667,0.11764705882352944,0.007843137254901933,0.4666666666666667,Empirical,empirical,5,7
9,50,-0.10539215686274506,0.125,-0.4505882352941176,0.10049019607843136,0.033039215686274506,0.4505882352941177,Empirical,empirical,5,7
10,51,-0.09411764705882353,0.09411764705882353,-0.45882352941176474,0.020588235294117685,0.012745098039215752,0.45882352941176474,Empirical,empirical,5,7
1,53,0.1941176470588235,0.1941176470588235,0.018627450980392153,0.6894117647058824,0.018627450980392153,0.6894117647058824,Empirical,empirical,8,20
