source,model_tag,trajectory_index,year,productivity
ARW4,arw4,9665,8,7.320866497838155
ARW4,arw4,9665,9,12.549759619041174
ARW4,arw4,9665,10,8.98005761945235
ARW4,arw4,9665,11,3.157511883160732
ARW4,arw4,9665,12,5.567179907484071
ARW4,arw4,9665,13,7.439128323992422
ARW4,arw4,9665,14,3.0972874584284416
ARW4,arw4,9665,15,2.607998750131372
ARW4,arw4,9665,16,0.2194275234999703
ARW4,arw4,9665,17,3.0649976926245177
ARW4,arw4,9665,18,6.268873757237616
ARW4,arw4,9665,19,10.514115209351498
ARW4,arw4,9665,20,21.075474607070785
ARW4,arw4,2679,0,1.4571068792208675
ARW4,arw4,2679,1,10.623831952203917
ARW4,arw4,2679,2,10.360381479763811
ARW4,arw4,2679,3,11.316529124658267
ARW4,arw4,2679,4,13.955514943713728
ARW4,arw4,2679,5,16.410208806365482
ARW4,arw4,2679,6,11.921643660417818
ARW4,arw4,2679,7,14.621354261386927
ARW4,arw4,2679,8,13.833801285021124
ARW4,arw4,2679,9,9.834588904665114
ARW4,arw4,2679,10,8.516141985399216
ARW4,arw4,2679,11,5.113062634745019
ARW4,arw4,2679,12,5.155232718255028
ARW4,arw4,2679,13,3.796978402204598
ARW4,arw4,2679,14,2.535157830563464
ARW4,arw4,2679,15,1.1022254503035378
ARW4,arw4,2679,16,2.150485537154948
ARW4,arw4,2679,17,0.6183431557230357
ARW4,arw4,2679,18,1.6499424696828724
ARW4,arw4,2679,19,1.8960951119377634
ARW4,arw4,2679,20,2.9474404913413412
ARW4,arw4,7975,0,8.79176001660041
ARW4,arw4,7975,1,0.9156213640485884
ARW4,arw4,7975,2,2.595800075381319
ARW4,arw4,7975,3,5.110229836498792
ARW4,arw4,7975,4,10.370517092096392
ARW4,arw4,7975,5,5.875208615511486
ARW4,arw4,7975,6,9.649612176319291
ARW4,arw4,7975,7,11.201847651585851
ARW4,arw4,7975,8,6.1949556565517785
ARW4,arw4,7975,9,10.23618737924222
ARW4,arw4,7975,10,8.446494118157778
ARW4,arw4,7975,11,5.436453023920125
ARW4,arw4,7975,12,4.571347541784194
ARW4,arw4,7975,13,1.9132727158852785
ARW4,arw4,7975,14,2.3247376725975557
ARW4,arw4,7975,15,1.898627713018447
ARW4,arw4,7975,16,2.000273813065762
ARW4,arw4,7975,17,0.9171503280043016
ARW4,arw4,7975,18,8.812193321486795
ARW4,arw4,7975,19,10.49084218998214
ARW4,arw4,7975,20,17.792416112070534
ARW4,arw4,8717,0,1.3360216139853842
ARW4,arw4,8717,1,7.411835408433255
ARW4,arw4,8717,2,13.57079823836073
ARW4,arw4,8717,3,11.43661155125894
ARW4,arw4,8717,4,7.526769841124846
ARW4,arw4,8717,5,4.874634770795328
ARW4,arw4,8717,6,6.86295374884792
ARW4,arw4,8717,7,11.247041823751202
ARW4,arw4,8717,8,4.339658347517584
ARW4,arw4,8717,9,5.028649568438294
ARW4,arw4,8717,10,1.5225262369619035
ARW4,arw4,8717,11,3.4831971561036887
ARW4,arw4,8717,12,3.559688770710196
ARW4,arw4,8717,13,2.9772949017219843
ARW4,arw4,8717,14,2.3369196658204383
ARW4,arw4,8717,15,10.931018498403146
ARW4,arw4,8717,16,9.93592391412137
ARW4,arw4,8717,17,2.949822600634689
ARW4,arw4,8717,18,3.0577434768161615
ARW4,arw4,8717,19,2.3201670393306695
ARW4,arw4,8717,20,3.0546816141902937
ARW4,arw4,7320,0,2.8812280450858117
ARW4,arw4,7320,1,7.8637160656339
ARW4,arw4,7320,2,18.733462144551893
ARW4,arw4,7320,3,14.615274629765816
ARW4,arw4,7320,4,23.873876848307727
ARW4,arw4,7320,5,14.535368697910366
ARW4,arw4,7320,6,9.05317798881335
ARW4,arw4,7320,7,7.2340881548066935
ARW4,arw4,7320,8,5.790569116338828
ARW4,arw4,7320,9,3.750168082939857
ARW4,arw4,7320,10,0.5878341485932306
ARW4,arw4,7320,11,0.033364989431596936
ARW4,arw4,7320,12,4.252596635776522
ARW4,arw4,7320,13,11.58099706406181
ARW4,arw4,7320,14,0.7749965285184528
ARW4,arw4,7320,15,1.4318407542554967
ARW4,arw4,7320,16,1.2486835903556777
ARW4,arw4,7320,17,0.17162597896524123
ARW4,arw4,7320,18,0.11066263828298914
ARW4,arw4,7320,19,10.69584773806138
