rep,model,annual_ks_mean,cum_total_ks,cum_y5_ks,zero_years_ks,terminal_rank_abs_error,rank_curve_rmse,dropout_rmse,restart_rmse,increment_ks,gini_abs_error,top1_abs_error
22,SE-Hurdle-T5,0.06429780033840948,0.0676818950930626,0.02707275803722504,0.03553299492385787,0.09738965141263048,0.11752116272670725,0.021190905795707236,0.057295662872770124,0.05423011844331643,0.04070527039946176,0.008786200732370963
22,Hurdle-AR(5)-S-P,0.08145999516557893,0.05583756345177665,0.049069373942470386,0.16412859560067683,0.17993603924910925,0.22484195767070642,0.028055478101771957,0.07208200989570639,0.055160744500846015,0.04023254214797395,0.0015287582275687814
23,SE-Hurdle-S,0.06470066876158247,0.05752961082910321,0.043993231810490696,0.04230118443316413,0.031678572353285694,0.050813130258828575,0.02047072864104524,0.06495136161349166,0.054399323181049064,0.02290948889188682,0.007949485924572522
23,SE-Hurdle-T5,0.06486181613085165,0.09306260575296109,0.05583756345177665,0.047377326565143825,0.039852625195255204,0.03582687597566013,0.01718693609352289,0.06517363440569324,0.054906937394247124,0.02778560442279132,0.010647600378905782
23,Hurdle-AR(5)-S-P,0.09636612682297964,0.06598984771573604,0.050761421319796954,0.17258883248730963,0.21267676025119558,0.21247130733814829,0.02826502358300261,0.07341861973817147,0.05600676818950934,0.029217620752796325,0.0030938458449929
24,SE-Hurdle-S,0.06695673193135121,0.05245346869712352,0.04568527918781726,0.049069373942470386,0.009485012742722121,0.030286567523843778,0.02158551479135322,0.06838369765263198,0.06573604060913701,0.007246112688312822,0.0005336454038212396
24,SE-Hurdle-T5,0.06727902666988961,0.0829103214890017,0.038917089678511,0.032148900169204735,0.017916885529349946,0.05522269304637928,0.02198103486871642,0.06284780606925934,0.053214890016920424,0.023954909253501022,0.0049406660998474045
24,Hurdle-AR(5)-S-P,0.1166706953508984,0.09306260575296109,0.0676818950930626,0.19120135363790186,0.21005633652666592,0.22727507042425704,0.037088762077746563,0.0525721215994297,0.060744500846023675,0.02176904768471699,8.469188472238348e-05
25,SE-Hurdle-S,0.06832648457013939,0.0727580372250423,0.06429780033840947,0.047377326565143825,0.001986680462997825,0.03959720868508031,0.019457108228340646,0.07238573949678813,0.0603214890016921,0.021076589701655546,0.005358939353973795
25,SE-Hurdle-T5,0.07211344774796552,0.09644670050761421,0.06260575296108291,0.05922165820642978,0.029723974827772892,0.0894648544240663,0.027759549179715248,0.06096214243630801,0.05516074450084607,0.03138851405408072,0.005693394174500585
25,Hurdle-AR(5)-S-P,0.1067601321408428,0.07106598984771574,0.05245346869712352,0.20304568527918782,0.17460574537529466,0.22670768666222701,0.03266921194557219,0.04593392897680407,0.06370558375634516,0.031213819651381758,0.0026737350848848734
26,SE-Hurdle-S,0.06196116348400612,0.06937394247038917,0.05583756345177665,0.049069373942470386,0.005721492517117399,0.036183670797703044,0.016371847139353832,0.05844359656924671,0.05956006768189509,0.01857147626117528,0.0035383824376384043
26,SE-Hurdle-T5,0.06502296350012085,0.077834179357022,0.050761421319796954,0.03722504230118443,0.08268121185060574,0.08124143056030052,0.01738198915947056,0.07619786085386969,0.05084602368866331,0.03940037275226632,0.009716836587179617
26,Hurdle-AR(5)-S-P,0.10168399000886309,0.0727580372250423,0.05922165820642978,0.1658206429780034,0.17203211846971084,0.1889119848954806,0.025514813529545568,0.04743750424745745,0.06522842639593912,0.04781118829635744,0.013638173601467178
27,SE-Hurdle-S,0.0688905003625816,0.05583756345177665,0.06598984771573604,0.050761421319796954,0.009544431175174423,0.034983882702648184,0.025565901715829006,0.04338505378566271,0.06226734348561758,0.017540517829595592,0.009915636638152057
27,SE-Hurdle-T5,0.06615099508500524,0.05922165820642978,0.047377326565143825,0.03722504230118443,0.034839211224532485,0.05412461596065949,0.017513668079149704,0.07508689536411299,0.0576142131979695,0.03570007139325926,0.005860669306765015
27,Hurdle-AR(5)-S-P,0.10111997421642092,0.077834179357022,0.05752961082910321,0.19627749576988154,0.1491289618492699,0.20642346579226156,0.030026320303876215,0.059954075090763476,0.06252115059221663,0.02681584374575624,0.00011966496838518997
28,SE-Hurdle-S,0.05970510031423738,0.08121827411167512,0.07614213197969544,0.03553299492385787,0.021107411058322534,0.043587288557103705,0.022611016882853715,0.08273605732188177,0.05262267343485616,0.010590108826265765,0.0038608040003539415
28,SE-Hurdle-T5,0.06502296350012085,0.08629441624365482,0.06429780033840947,0.043993231810490696,0.03389244114602691,0.05971246254863428,0.02451923316055378,0.04549482571225223,0.05304568527918785,0.024295478474715637,0.002806661092359261
28,Hurdle-AR(5)-S-P,0.10232857948593989,0.06091370558375635,0.06429780033840947,0.20642978003384094,0.2045663150162033,0.19050705491476197,0.033737022244038566,0.06218757628468531,0.05829103214890019,0.03694126312445656,0.006496433613316838
29,SE-Hurdle-S,0.07235516880186932,0.09813874788494077,0.047377326565143825,0.047377326565143825,0.04361868172182615,0.053030949883289706,0.024075807822011335,0.06833846820699438,0.05245346869712353,0.030656970752287405,0.006101771406976382
29,SE-Hurdle-T5,0.07163000564015791,0.0676818950930626,0.05752961082910321,0.030456852791878174,0.03856678240891162,0.05615421972433563,0.020190900685556918,0.05645231812653037,0.05118443316412863,0.026420458095497812,0.005918948845626389
29,Hurdle-AR(5)-S-P,0.10482636370961244,0.07106598984771574,0.06091370558375635,0.18274111675126903,0.11235460793979439,0.1794351216097202,0.036942371642297675,0.05765564201096473,0.06218274111675126,0.027558766905559418,0.003692907303737371
30,SE-Hurdle-S,0.0679236161469664,0.05414551607445008,0.04230118443316413,0.0338409475465313,0.03728516016416758,0.05169103162619936,0.022220686645041333,0.05570302528976465,0.04940778341793567,0.03160276200453216,0.009288372743092188
30,SE-Hurdle-T5,0.061316574006929345,0.06598984771573604,0.04230118443316413,0.038917089678511,0.07572122830346081,0.06249407492861349,0.02278865552500908,0.05772305716874171,0.05541455160744507,0.032957501529224775,0.01434921301343385
30,Hurdle-AR(5)-S-P,0.09910563210055595,0.06937394247038917,0.05752961082910321,0.1692047377326565,0.09227391207615068,0.23113720709465152,0.02505987603219912,0.06975123701220966,0.05668358714043992,0.04602264037485809,0.006112588948541012
31,SE-Hurdle-S,0.06534525823865925,0.06937394247038917,0.032148900169204735,0.028764805414551606,0.04827731243631753,0.047065003443818254,0.02044339015782569,0.08068998005759036,0.057191201353637866,0.023851141969903622,0.009365144909336216
31,SE-Hurdle-T5,0.058899363467891395,0.05922165820642978,0.05583756345177665,0.04060913705583756,0.0655249993398826,0.07217940111053647,0.019862774605656434,0.04343000044446324,0.0527918781725889,0.019901272939908565,0.0054227676966903185
31,Hurdle-AR(5)-S-P,0.09265973732978809,0.05922165820642978,0.038917089678511,0.1505922165820643,0.12348822701374089,0.17881340041981902,0.02968787815675229,0.08843588454243095,0.058967851099830826,0.04377065341140374,0.0054048132287535244
