model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap,rho,max_lag
SE-Hurdle-S,8-20,positive,6013,0.04718479743996273,0.4429044993951976,,0.4583329147816157,0.5504409063370291,0.5909427863578348,0.4712533669408661,9,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.34294471570974694,1.2896866436555863,-0.8847285523661517,0.0,,,,9,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,447,0.8104286982196641,0.5459008314929279,,0.0,0.7455995936973836,0.5696410520406383,0.48271690168454784,9,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.5021891823036886,0.6975114709144618,0.1542406212038502,0.864209311110152,,,,9,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1943,0.8362412268467702,0.36694981841240276,,0.22781222732937978,0.571345733819921,0.5992948550799668,0.48893859391193095,9,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.5869682197787081,1.3724243544198873,-1.1081541926486744,1.027342033869906,,,,9,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1527,0.3350043793051254,0.39988887477396623,,0.3530065192900272,0.6560622885411946,0.5993996268342601,0.4917186496287029,9,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-0.9074995349208366,1.221613064238246,-0.861463722705119,1.3119405482194537,,,,9,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,6013,0.08479233447349743,0.4482023838875031,,0.4310928451011464,0.553506774954673,0.5923487994438895,0.47269045109895186,9,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.12516306363760532,0.6729089652828495,0.3635659822228124,0.0,,,,10,0.6696666666666666,
SE-Hurdle-S,0,positive,431,1.092799819108583,0.413830398042812,,0.0,0.516649846219003,0.5472891364126975,0.4626491877806405,10,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.5548656921877788,0.8693092669201763,-0.33237415949208543,0.9087246492775561,,,,10,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1872,0.8097842091643379,0.3675435269812645,,0.24578213091715317,0.5274494578878991,0.612240579388689,0.5022831110721767,10,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.6500340571522027,0.912585947887093,-0.982356540951334,1.4279967517780205,,,,10,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1501,0.45167307774319054,0.38368845124881384,,0.3402061160376899,0.5478300681788006,0.6073377894875831,0.5000423720339797,10,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.1922002508746565,1.1103013889464335,-0.6424640454935145,1.518588176316917,,,,10,0.6696666666666666,
SE-Hurdle-S,8-20,positive,5979,0.030447257642313597,0.4356507133039475,,0.48147050575437117,0.5261827444121461,0.5938217975873114,0.47218519245744306,10,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.12516306363760532,0.6729089652828495,0.3635659822228124,0.0,,,,10,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,431,1.092799819108583,0.413830398042812,,0.0,0.516649846219003,0.5472891364126975,0.4626491877806405,10,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.5550359582809954,0.8691424611362041,-0.3322982359019323,0.9078020939560396,,,,10,0.6533333333333333,5.0
